Date,State,Industry Sector Category,Residential
2016,AZ,Total Electric Industry,12.15
2016,CA,Total Electric Industry,17.39
2016,CO,Total Electric Industry,12.07
2016,CT,Total Electric Industry,20.01
2016,DC,Total Electric Industry,12.29
2016,DE,Total Electric Industry,13.42
2016,FL,Total Electric Industry,10.98
2016,GA,Total Electric Industry,11.50
2016,HI,Total Electric Industry,27.47
2016,IA,Total Electric Industry,11.94
2016,ID,Total Electric Industry,9.95
2016,IL,Total Electric Industry,12.54
2016,IN,Total Electric Industry,11.79
2016,KS,Total Electric Industry,13.06
2016,KY,Total Electric Industry,10.49
2016,LA,Total Electric Industry,9.34
2016,MA,Total Electric Industry,19.00
2016,MD,Total Electric Industry,14.23
2016,ME,Total Electric Industry,15.83
2016,MI,Total Electric Industry,15.22
2016,MN,Total Electric Industry,12.67
2016,MO,Total Electric Industry,11.21
2016,MS,Total Electric Industry,10.47
2016,MT,Total Electric Industry,10.94
2016,NC,Total Electric Industry,11.03
2016,ND,Total Electric Industry,10.16
2016,NE,Total Electric Industry,10.84
2016,NH,Total Electric Industry,18.38
2016,NJ,Total Electric Industry,15.72
2016,NM,Total Electric Industry,12.03
2016,NV,Total Electric Industry,11.41
2016,NY,Total Electric Industry,17.58
2016,OH,Total Electric Industry,12.47
2016,OK,Total Electric Industry,10.20
2016,OR,Total Electric Industry,10.66
2016,PA,Total Electric Industry,13.86
2016,RI,Total Electric Industry,18.62
2016,SC,Total Electric Industry,12.65
2016,SD,Total Electric Industry,11.47
2016,TN,Total Electric Industry,10.41
2016,TX,Total Electric Industry,10.99
2016,UT,Total Electric Industry,11.02
2016,VA,Total Electric Industry,11.36
2016,VT,Total Electric Industry,17.37
2016,WA,Total Electric Industry,9.48
2016,WI,Total Electric Industry,14.07
2016,WV,Total Electric Industry,11.44
2016,WY,Total Electric Industry,11.13
2016,US,Total Electric Industry,12.55
1/4/2016,AK,Full-Service Providers,20.30
1/11/2016,AL,Full-Service Providers,11.99
1/18/2016,AR,Full-Service Providers,9.92
1/25/2016,AZ,Full-Service Providers,12.15
2/1/2016,CA,Full-Service Providers,17.32
2/8/2016,CO,Full-Service Providers,12.07
2/15/2016,CT,Full-Service Providers,19.46
2/22/2016,DC,Full-Service Providers,11.49
2/29/2016,DE,Full-Service Providers,13.32
3/7/2016,FL,Full-Service Providers,10.98
3/14/2016,GA,Full-Service Providers,11.50
3/21/2016,HI,Full-Service Providers,27.47
3/28/2016,IA,Full-Service Providers,11.94
4/4/2016,ID,Full-Service Providers,9.95
4/11/2016,IL,Full-Service Providers,12.16
4/18/2016,IN,Full-Service Providers,11.79
4/25/2016,KS,Full-Service Providers,13.06
5/2/2016,KY,Full-Service Providers,10.49
5/9/2016,LA,Full-Service Providers,9.34
5/16/2016,MA,Full-Service Providers,18.18
5/23/2016,MD,Full-Service Providers,13.92
5/30/2016,ME,Full-Service Providers,15.27
6/6/2016,MI,Full-Service Providers,15.22
6/13/2016,MN,Full-Service Providers,12.67
6/20/2016,MO,Full-Service Providers,11.21
6/27/2016,MS,Full-Service Providers,10.47
7/4/2016,MT,Full-Service Providers,10.94
7/11/2016,NC,Full-Service Providers,11.03
7/18/2016,ND,Full-Service Providers,10.16
7/25/2016,NE,Full-Service Providers,10.84
8/1/2016,NH,Full-Service Providers,18.66
8/8/2016,NJ,Full-Service Providers,15.60
8/15/2016,NM,Full-Service Providers,12.03
8/22/2016,NV,Full-Service Providers,11.41
8/29/2016,NY,Full-Service Providers,16.92
9/5/2016,OH,Full-Service Providers,12.52
9/12/2016,OK,Full-Service Providers,10.20
9/19/2016,OR,Full-Service Providers,10.66
9/26/2016,PA,Full-Service Providers,13.26
10/3/2016,RI,Full-Service Providers,18.42
10/10/2016,SC,Full-Service Providers,12.65
10/17/2016,SD,Full-Service Providers,11.47
10/24/2016,TN,Full-Service Providers,10.41
10/31/2016,TX,Full-Service Providers,10.99
11/7/2016,UT,Full-Service Providers,11.02
11/14/2016,VA,Full-Service Providers,11.36
11/21/2016,VT,Full-Service Providers,17.37
11/28/2016,WA,Full-Service Providers,9.48
12/5/2016,WI,Full-Service Providers,14.07
12/12/2016,WV,Full-Service Providers,11.44
12/19/2016,WY,Full-Service Providers,11.13
2016,CA,Restructured Retail Service Providers,20.50
2016,CT,Restructured Retail Service Providers,21.14
2016,DC,Restructured Retail Service Providers,14.85
2016,DE,Restructured Retail Service Providers,14.67
2016,IL,Restructured Retail Service Providers,13.07
2016,MA,Restructured Retail Service Providers,20.70
2016,MD,Restructured Retail Service Providers,15.46
2016,ME,Restructured Retail Service Providers,18.48
2016,MI,Restructured Retail Service Providers,14.69
2016,MT,Restructured Retail Service Providers,11.00
2016,NH,Restructured Retail Service Providers,17.10
